,org_uuid,org_name,domain,status,founded_on,category_list,category_groups_list,country_code,city,short_description,earliest_funding,time_first_funding,seed_funding,seed_funding_log,series_a_funding_date,time_till_series_a,series_a_funding,series_a_funding_log,seed_n_rounds,series_a_n_rounds,angel_n_rounds,pre_seed_n_rounds,success_flag,time_first_funding_normalised,seed_funding_normalised,series_a_funding_normalised,time_till_series_a_normalised
0,86bd89a7-fe3f-12d4-817c-8157c8592194,i.Sec,isec.ng,operating,2013-01-01,"Finance,FinTech",Financial Services,NGA,Lagos,i.Sec is a financial security service that allows its users to approve and decline unwanted and malicious transactions.,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.41042067051035663,0.0,0.0,0.3236693091732729
1,58fd74f2-9ebb-4a41-cd75-05f9214a9a11,Kukua,kukua.me,operating,2015-01-01,"Content,EdTech,Franchise,Media and Entertainment","Education,Media and Entertainment,Other,Software",KEN,Nairobi,The edutainment company for children of the 21st century,2018-11-08,1407 days,2500961.0,6.398106919392696,2022-06-29,2736 days,6000000.0,6.778151250383644,3.0,1.0,0.0,0.0,0,0.3004484304932735,0.005557691111111111,0.0039847799999641375,0.6197055492638732
2,e8772824-d8d5-7636-0bd5-40b76511213b,Airdog,airdog.com,operating,2014-01-01,"Artificial Intelligence,Drones,Robotics","Artificial Intelligence,Consumer Electronics,Consumer Goods,Data and Analytics,Hardware,Science and Engineering,Software",LVA,Riga,We build smart robots that bring unprecedented value to its owners.,2015-03-19,442 days,2499329.0,6.397823428387321,2016-07-18,929 days,3506665.0,6.544894278684281,1.0,1.0,0.0,0.0,0,0.0943839419175742,0.005554064444444444,0.00232888142642904,0.21041902604756513
3,be72d0fa-b5b0-eb2d-f8aa-3cb290f97b33,Ubiq.ai,ubiq.ai,operating,2015-01-01,"Autonomous Vehicles,Car Sharing,Internet,Last Mile Transportation,Smart Cities,Software,Transportation","Internet Services,Real Estate,Software,Transportation",AUT,Vienna,Ubiq is shaping the future of urban mobility by enabling mobility services to become profitable and sustainable.,2015-04-09,98 days,1440559.0,6.158531050085856,,,0.0,0.0,1.0,0.0,0.0,1.0,0,0.02092675635276532,0.003201242222222222,0.0,0.2902831257078142
4,7c9e6d25-8cf0-80a5-dfd6-d1a21337534d,ANKA,anka.africa,operating,2016-01-01,"Art,E-Commerce,Fashion,Handmade","Clothing and Apparel,Commerce and Shopping,Consumer Goods,Design,Media and Entertainment",CIV,Abidjan,"ANKA is a platform to discover, buy, and sell African fashion, arts, and crafts.",2017-06-21,537 days,8076881.0,6.907243684289765,,,0.0,0.0,5.0,0.0,0.0,1.0,0,0.11467008327994875,0.017948624444444443,0.0,0.5573272933182333
5,91b7747c-1345-6dd1-0013-14f16733d5dc,Restaumatic,restaumatic.com,operating,2013-01-01,"Delivery,E-Commerce,Food Processing","Administrative Services,Commerce and Shopping,Food and Beverage",POL,Zabrze,Restaumatic provides its customers comprehensive and professional online food ordering system for existing websites.,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.41042067051035663,0.0,0.0,0.3236693091732729
6,1ba1ca0f-7254-4a7f-950e-7ef4a2eceaa3,Cura,cura.healthcare,operating,2016-01-01,"Employee Benefits,Health Care,Health Diagnostics,Home Health Care,Medical,mHealth,Outpatient Care,Personal Health,Wellness","Administrative Services,Health Care,Mobile",SAU,Riyadh,"Saudi leading telehealth platform, providing consultations, diagnosis and well-being sessions through instant messaging and live video calls",2017-11-12,681 days,853334.0,5.931119049884619,2021-10-18,2117 days,3998934.0,6.601944236423509,1.0,1.0,0.0,1.0,0,0.14541960281870595,0.0018962977777777776,0.002655812037396098,0.4795016987542469
7,a5c5742b-b12f-44d0-a549-e774bbc68618,Flowingly,flowingly.io,operating,2016-01-01,"Information Technology,Software","Information Technology,Software",NZL,Auckland,Flowingly is a ''no code''​ application development platform.,2022-03-09,2259 days,4500000.0,6.653212513775344,,,0.0,0.0,1.0,0.0,0.0,0.0,0,0.48238308776425365,0.01,0.0,0.5983691959229898
8,305e3ca7-9819-4e17-afa6-f186a0da05d9,Inland Properties Group,ipgegypt.com,operating,2015-01-01,"Property Management,Real Estate",Real Estate,EGY,Cairo,Inland Properties is a leading real estate company that was established in 2015.,2022-03-09,2624 days,5000000.0,6.698970004336019,,,0.0,0.0,1.0,0.0,0.0,0.0,0,0.5603245782617979,0.01111111111111111,0.0,0.7437372593431484
9,3cb5fa01-fb88-4667-b83c-e617105b82b2,RISE,riseaccel.com,operating,2016-01-01,"Education,Management Consulting","Education,Professional Services",THA,Bangkok,Corporate Innovation Powerhouse of Asia - We help corporates and governments innovate faster through our corporate innovation platform,2019-08-27,1334 days,8000000.0,6.903089986991944,,,0.0,0.0,2.0,0.0,0.0,0.0,0,0.2848601323937647,0.017777777777777778,0.0,0.5160588901472254
10,5a000ccc-e679-4074-bfa0-5401b24116b8,Konvy.com,konvy.com,operating,2011-01-01,"Cosmetics,E-Commerce,Retail","Commerce and Shopping,Consumer Goods",THA,Watthana,Konvy.com is an online platform that provides cosmetics and skincare products.,2022-10-10,4300 days,0.0,0.0,2022-10-10,4300 days,10000000.0,7.0,0.0,1.0,0.0,0.0,0,0.918214819560111,0.0,0.0066412999999402285,0.9739524348810872
11,80fa545f-f661-05e9-2ed4-ad863b096c7c,Wirewatt,wirewatt.com,operating,2015-01-01,"Clean Energy,CleanTech,Financial Services,FinTech,Solar","Energy,Financial Services,Natural Resources,Sustainability",MEX,Monterrey,Wirewatt is a clean energy financing platform providing loans to homeowners to finance solar and other energy-efficiency projects.,2015-04-15,104 days,500000.0,5.698970004336019,,,0.0,0.0,1.0,0.0,0.0,0.0,0,0.02220798633354687,0.0011111111111111111,0.0,0.10129105322763307
12,a9401809-76f1-41ca-a681-efc235f45fd3,Schrott24,schrott24.de,operating,2016-01-01,"Apps,Internet,Marketplace,Mobile Apps,Web Apps","Apps,Commerce and Shopping,Internet Services,Mobile,Software",AUT,Graz,Schrott24 is a managed marketplace for scrap metal.,2018-06-05,886 days,3308113.0,6.519580335958586,,,0.0,0.0,2.0,0.0,0.0,1.0,0,0.18919496049540893,0.007351362222222222,0.0,0.48357870894677235
13,aa724058-38af-4e61-9e11-37635760f5fe,Marsello,marsello.com,operating,2014-01-01,"Hospitality,Marketing Automation,Retail,SaaS","Commerce and Shopping,Sales and Marketing,Software,Travel and Tourism",NZL,Wellington,Marsello is the small retailers virtual marketing assistant.,2021-01-17,2573 days,2850000.0,6.45484486000851,,,0.0,0.0,1.0,0.0,0.0,0.0,0,0.5494341234251549,0.006333333333333333,0.0,0.7229445073612684
